zip_code,zcta,source,zcta_crosswalk
02350,02341,geonames,02350
02455,02460,geonames,02451
02456,01754,geonames,02472
02552,02575,geonames,02535
02651,02651,geonames,02642
02669,02669,geonames,02633
02714,02747,geonames,02748
02722,02720,geonames,02721
02768,02747,geonames,02767
02783,02747,geonames,
02801,02842,geonames,02837
02823,02831,geonames,02823
02824,02896,geonames,02824
02829,02814,geonames,02829
02880,02813,geonames,02879
02887,02889,geonames,02886
02918,02908,geonames,02918
02940,02903,geonames,02904
03061,03064,geonames,03060
03105,03104,geonames,03101
03108,03104,geonames,03103
03111,03104,geonames,03103
03289,03276,geonames,03220
03298,03249,geonames,03253
03299,03249,geonames,03253
03302,03303,geonames,03301
03589,03597,geonames,03593
03746,03746,geonames,03745
03754,03754,geonames,03773
03804,03801,geonames,03904
03843,03833,geonames,03842
03897,03886,geonames,03897
04007,04046,geonames,04005
04014,04090,geonames,04046
04122,04101,geonames,04102
04123,04101,geonames,04102
04124,04101,geonames,04102
04211,04282,geonames,04210
04212,04282,geonames,04210
04228,04228,geonames,04254
04241,04282,geonames,04240
04243,04282,geonames,04240
04341,04353,geonames,04341
04343,04343,geonames,04364
04549,04543,geonames,04537
04629,04629,geonames,04614
04637,04637,geonames,04668
04644,04644,geonames,04609
04737,,geonames,04737
04741,04741,geonames,04774
04751,04736,geonames,04750
04903,04963,geonames,04901
04933,04933,geonames,04953
04962,04962,geonames,04989
05009,05001,geonames,05009
05030,05089,geonames,05030
05073,05091,geonames,05073
05074,05038,geonames,05079
05088,05001,geonames,05088
05344,05345,geonames,05344
05351,05345,geonames,05351
05402,05495,geonames,05401
05406,05495,geonames,05401
05407,05495,geonames,05403
05453,05495,geonames,05452
05544,01810,geonames,
05601,05641,geonames,05602
05657,05657,geonames,05661
05666,05602,geonames,05666
05670,05641,geonames,05670
05731,05743,geonames,05731
05740,05740,geonames,05753
05746,05772,geonames,05746
05750,05743,geonames,05735
05768,05776,geonames,05768
05823,05830,geonames,05855
05840,05905,geonames,05840
05849,05824,geonames,05851
06030,06117,geonames,06032
06034,06117,geonames,06032
06041,06040,geonames,06042
06045,06040,geonames,06042
06072,06071,geonames,06072
06079,06068,geonames,06079
06080,06078,geonames,06080
06087,06085,geonames,
06094,06790,geonames,06098
06102,06117,geonames,06103
06104,06117,geonames,06120
06115,06106,geonames,06103
06123,06106,geonames,06103
06127,06117,geonames,06107
06128,06117,geonames,06108
06129,06117,geonames,06109
06131,06117,geonames,06111
06132,06106,geonames,06112
06133,06117,geonames,06110
06134,06106,geonames,06114
06138,06117,geonames,06118
06140,06117,geonames,06120
06141,06117,geonames,06120
06142,06117,geonames,06120
06143,06117,geonames,06120
06144,06117,geonames,06120
06145,06117,geonames,06120
06146,06117,geonames,06120
06147,06117,geonames,06120
06150,06117,geonames,06120
06151,06117,geonames,06120
06152,06106,geonames,06002
06153,06117,geonames,06032
06156,06160,geonames,06105
06160,06160,geonames,06105
06161,06103,geonames,06109
06176,06117,geonames,06103
06180,06117,geonames,06107
06258,06259,geonames,06258
06267,06281,geonames,06259
06338,06339,geonames,06338
06372,06378,geonames,06355
06408,06514,geonames,06410
06439,06371,geonames,06439
06459,06457,geonames,06459
06493,06514,geonames,06492
06494,06514,geonames,06492
06495,06473,geonames,06492
06501,06511,geonames,06510
06502,06511,geonames,06510
06503,06511,geonames,06510
06504,06514,geonames,06510
06505,06511,geonames,06510
06506,06511,geonames,06510
06507,06511,geonames,06510
06508,06511,geonames,06510
06509,06511,geonames,06510
06521,06511,geonames,06510
06537,06514,geonames,06511
06538,06514,geonames,06511
06601,06605,geonames,06604
06673,06605,geonames,06615
06699,06605,geonames,06604
06703,06702,geonames,06704
06749,06702,geonames,06762
06753,06796,geonames,06753
06792,06791,geonames,06790
06814,06896,geonames,06810
06816,06896,geonames,06810
06829,06896,geonames,06883
06852,06896,geonames,06850
06856,06856,geonames,06850
06857,06896,geonames,06854
06860,06896,geonames,06854
06888,06896,geonames,06880
06904,06901,geonames,06902
06911,06901,geonames,06902
06912,06901,geonames,06902
06913,06901,geonames,06902
06920,06901,geonames,
06921,06901,geonames,
06922,06902,geonames,
06927,06901,geonames,06902
07015,07013,geonames,07011
07019,07017,geonames,07018
07051,07052,geonames,07050
07061,07016,geonames,07060
07091,07016,geonames,07090
07096,07306,geonames,07094
07097,07306,geonames,07307
07099,07306,geonames,07032
07101,07111,geonames,07102
07184,07052,geonames,07102
07189,07052,geonames,07102
07191,07052,geonames,07102
07198,07052,geonames,07102
07207,07201,geonames,07208
07303,07306,geonames,07302
07308,07306,geonames,07302
07395,07306,geonames,07302
07399,07306,geonames,07307
07428,07461,geonames,07462
07495,07495,geonames,07430
07509,07505,geonames,07501
07510,07505,geonames,07501
07511,07403,geonames,07512
07533,07403,geonames,07503
07543,07403,geonames,07513
07544,07403,geonames,07501
07799,07746,geonames,07724
07802,07869,geonames,07801
07806,07869,geonames,07801
07831,07882,geonames,07831
07837,07848,geonames,07821
07844,07825,geonames,07844
07845,07869,geonames,07945
07962,07869,geonames,07960
07999,07869,geonames,07981
08018,08081,geonames,08009
08025,08028,geonames,08062
08032,08012,geonames,08032
08101,08104,geonames,08102
08245,08210,geonames,08245
08313,08318,geonames,08302
08541,08542,geonames,08540
08543,08648,geonames,08540
08544,08540,geonames,08544
08601,08648,geonames,08608
08602,08648,geonames,08608
08603,08648,geonames,08608
08604,08648,geonames,08608
08605,08648,geonames,08608
08606,08648,geonames,08608
08607,08648,geonames,08608
08625,08648,geonames,08608
08644,08609,geonames,
08645,08648,geonames,08608
08646,08648,geonames,08608
08647,08648,geonames,08608
08650,08648,geonames,08691
08666,08648,geonames,08608
08695,08648,geonames,08608
08754,08757,geonames,08753
08756,08758,geonames,08721
08808,08808,geonames,07882
08818,08816,geonames,08817
08834,08867,geonames,08848
08855,08816,geonames,08854
08862,08816,geonames,08861
08871,08816,geonames,08872
08903,08854,geonames,08901
08906,08901,geonames,08817
08989,08816,geonames,08817
10043,10007,geonames,10005
10055,10024,geonames,10022
10060,10024,geonames,10199
10080,10007,geonames,10282
10081,10007,geonames,10005
10087,10024,geonames,10017
10090,10024,geonames,10007
10101,10024,geonames,10019
10102,10024,geonames,10019
10108,10024,geonames,10036
10109,10024,geonames,10036
10113,10024,geonames,10011
10114,10024,geonames,10003
10116,10024,geonames,10001
10117,10024,geonames,10119
10121,10119,geonames,10011
10124,10024,geonames,10152
10125,10024,geonames,10001
10126,10024,geonames,10022
10129,10024,geonames,10018
10130,10024,geonames,10001
10131,10024,geonames,10021
10133,10024,geonames,10023
10138,10024,geonames,10016
10150,10024,geonames,10022
10151,10019,geonames,10022
10156,10024,geonames,10016
10157,10024,geonames,10016
10159,10024,geonames,10010
10160,10024,geonames,10010
10161,10024,geonames,
10163,10024,geonames,10170
10164,10024,geonames,10017
10166,10169,geonames,10017
10179,10024,geonames,10017
10185,10024,geonames,10020
10203,10007,geonames,10005
10211,10024,geonames,10199
10212,10007,geonames,10199
10213,10007,geonames,10013
10256,10007,geonames,10006
10258,10007,geonames,10271
10259,10007,geonames,10017
10260,10007,geonames,10005
10261,10024,geonames,10017
10265,10007,geonames,10005
10268,10024,geonames,10007
10269,10024,geonames,10005
10272,10024,geonames,10038
10273,10007,geonames,10038
10274,10024,geonames,10007
10275,10024,geonames,10004
10276,10024,geonames,10003
10277,10024,geonames,10278
10281,10282,geonames,10280
10285,10007,geonames,10282
10286,10007,geonames,10005
10313,10306,geonames,10314
10540,10541,geonames,10540
10542,10541,geonames,10542
10602,10601,geonames,10606
10610,10504,geonames,10604
11022,11590,geonames,11021
11026,11590,geonames,11021
11027,11023,geonames,11021
11051,11590,geonames,11050
11052,11590,geonames,11050
11053,11590,geonames,11050
11054,11590,geonames,11050
11055,11590,geonames,11050
11202,11203,geonames,11201
11241,11203,geonames,11201
11242,11203,geonames,11201
11243,11203,geonames,11217
11245,11203,geonames,11201
11247,11203,geonames,11216
11249,11203,geonames,11249
11251,11203,geonames,11211
11252,11203,geonames,11209
11256,11203,geonames,11208
11351,11351,geonames,11357
11352,11239,geonames,11355
11381,11239,geonames,11379
11405,11239,geonames,11433
11425,11425,geonames,11209
11431,11416,geonames,11432
11437,,,11413
11439,11432,geonames,11439
11499,11239,geonames,11430
11695,11239,geonames,11693
11707,11704,geonames,11702
11760,11747,geonames,11788
11815,11590,geonames,11801
11819,11801,geonames,
12016,12072,geonames,12010
12050,12534,geonames,12173
12055,12186,geonames,12193
12082,12052,geonames,12082
12089,12089,geonames,12090
12133,12090,geonames,12057
12220,12207,geonames,12210
12226,12207,geonames,12226
12228,12207,geonames,12202
12229,12207,geonames,12208
12231,12207,geonames,12210
12232,12207,geonames,12203
12235,12207,geonames,12205
12240,12207,geonames,12203
12246,12207,geonames,12222
12250,12207,geonames,12204
12252,12207,geonames,
12255,12207,geonames,12210
12256,12207,geonames,
12257,12207,geonames,12206
12260,12207,geonames,12206
12261,12207,geonames,12206
12288,12207,geonames,12205
12325,12306,geonames,12302
12345,12305,geonames,12309
12541,12534,geonames,12502
12544,12075,geonames,12544
12602,12545,geonames,12601
12727,12764,geonames,12752
12820,12804,geonames,12820
12854,12832,geonames,12854
12915,12920,geonames,12915
13064,13064,geonames,13156
13065,13148,geonames,13065
13089,13215,geonames,13090
13107,13114,geonames,13131
13119,13152,geonames,13119
13121,13126,geonames,13121
13154,13146,geonames,13154
13217,13215,geonames,13210
13218,13215,geonames,13204
13221,13202,geonames,13212
13225,13215,geonames,13212
13235,13203,geonames,13210
13244,13210,geonames,13244
13250,13215,geonames,13212
13251,13215,geonames,13212
13341,13341,geonames,13323
13362,13362,geonames,13425
13455,13480,geonames,13455
13457,13348,geonames,13457
13482,13315,geonames,13482
13599,13502,geonames,13501
13611,13650,geonames,13611
13627,13367,geonames,13619
13631,13367,geonames,13619
13632,13656,geonames,13632
13645,13642,geonames,13645
13649,13613,geonames,13649
13677,13677,geonames,13652
13683,13655,geonames,13683
13699,13676,geonames,13699
13738,13045,geonames,13738
13747,12116,geonames,13747
13749,13748,geonames,13795
13794,13794,geonames,13803
13814,13815,geonames,13814
13845,13845,geonames,13734
14027,14081,geonames,14027
14029,14065,geonames,14029
14056,14036,geonames,14056
14083,14009,geonames,14083
14144,14174,geonames,14092
14166,14048,geonames,14166
14205,14202,geonames,14203
14233,14206,geonames,14203
14260,14204,geonames,14260
14265,14206,geonames,14221
14267,14206,geonames,14202
14269,14206,geonames,14043
14270,14206,geonames,14203
14272,14206,geonames,14043
14273,14127,geonames,14203
14276,14202,geonames,14206
14280,14202,geonames,14203
14413,14516,geonames,14413
14453,14564,geonames,14453
14463,14456,geonames,14463
14508,14476,geonames,14464
14515,14468,geonames,14515
14556,14437,geonames,14556
14557,14422,geonames,14557
14602,14612,geonames,14623
14638,14612,geonames,14604
14639,14612,geonames,14604
14642,14612,geonames,14642
14643,14614,geonames,14604
14644,14612,geonames,14604
14646,14612,geonames,14604
14647,14614,geonames,14604
14649,14612,geonames,14604
14650,14614,geonames,14608
14651,14614,geonames,14608
14652,14612,geonames,14608
14653,14612,geonames,14624
14692,14612,geonames,14623
14694,14612,geonames,14614
14785,14710,geonames,14785
15095,15086,geonames,16046
15123,15211,geonames,15123
15127,15237,geonames,15143
15230,15211,geonames,15222
15240,15211,geonames,15215
15242,15211,geonames,15205
15244,15211,geonames,15205
15250,15211,geonames,15212
15251,15211,geonames,15212
15252,15211,geonames,15219
15253,15211,geonames,15212
15254,15211,geonames,15219
15255,15211,geonames,15212
15257,15211,geonames,15219
15258,15211,geonames,15219
15259,15211,geonames,15219
15261,15211,geonames,15213
15262,15211,geonames,15219
15264,15211,geonames,15212
15265,15211,geonames,15222
15267,15211,geonames,15233
15268,15211,geonames,15212
15270,15211,geonames,15228
15272,15211,geonames,15222
15274,15211,geonames,15212
15275,15108,geonames,15275
15276,15211,geonames,15205
15277,15211,geonames,15205
15278,15211,geonames,15222
15279,15211,geonames,15233
15281,15211,geonames,15219
15282,15219,geonames,15282
15283,15211,geonames,15220
15286,15211,geonames,15212
15295,15214,geonames,15202
15365,15323,geonames,15365
15415,15442,geonames,15468
15416,15401,geonames,15416
15465,15456,geonames,15465
15488,15480,geonames,15488
15565,15558,geonames,15565
15605,15670,geonames,15601
15619,15601,geonames,15619
15621,15621,geonames,15666
15664,15644,geonames,15666
15674,15666,geonames,15674
15682,15656,geonames,15682
15685,15670,geonames,15666
15705,15701,geonames,15705
15720,15748,geonames,15720
15758,15771,geonames,15767
15763,16256,geonames,15763
15831,15846,geonames,15831
15959,15905,geonames,15904
16016,16020,geonames,16061
16017,16001,geonames,16061
16018,16001,geonames,16020
16021,16057,geonames,16038
16039,16002,geonames,16001
16172,16142,geonames,16172
16220,16233,geonames,16220
16221,16254,geonames,16255
16234,16254,geonames,16224
16368,16329,geonames,16365
16369,16329,geonames,16365
16430,16411,geonames,16430
16475,16401,geonames,16475
16515,16506,geonames,16510
16550,16501,geonames,16550
16644,16627,geonames,16639
16654,16652,geonames,16654
16660,17052,geonames,16652
16675,16668,geonames,16675
16681,16830,geonames,16627
16684,16686,geonames,16684
16728,16728,geonames,16735
16856,16823,geonames,16856
16864,16841,geonames,16864
16910,17724,geonames,16910
17012,17011,geonames,
17014,17049,geonames,17014
17054,17051,geonames,17054
17072,17072,geonames,17050
17083,17083,geonames,17042
17089,17025,geonames,17011
17105,17103,geonames,17110
17106,17109,geonames,17110
17108,17112,geonames,17120
17121,17110,geonames,17102
17124,17102,geonames,17120
17126,17101,geonames,17120
17127,17101,geonames,17120
17128,17102,geonames,17120
17130,17102,geonames,17120
17140,17110,geonames,17111
17177,17110,geonames,17109
17232,17244,geonames,17232
17256,17256,geonames,17225
17270,17270,tiger,17252
17272,17272,geonames,17268
17303,17307,geonames,17303
17323,17019,geonames,17323
17342,17360,geonames,17342
17354,17362,geonames,
17358,17402,geonames,17365
17375,17325,geonames,17324
17405,17406,geonames,17401
17503,17603,geonames,17566
17504,17603,geonames,17504
17506,17519,geonames,17506
17533,17578,geonames,17543
17534,17529,geonames,17534
17564,17603,geonames,17545
17568,17584,geonames,17568
17575,17601,geonames,17552
17583,17584,geonames,
17605,17603,geonames,17601
17607,17603,geonames,17601
17611,17602,geonames,17601
17622,17602,geonames,17538
17699,17603,geonames,17538
17705,17728,geonames,17701
17720,17740,geonames,17720
17767,17767,tiger,17751
17769,17727,geonames,17769
17858,17820,geonames,17858
18001,18067,geonames,18101
18002,18109,geonames,18017
18003,18067,geonames,18017
18012,18071,geonames,18012
18016,18016,geonames,18018
18043,18042,geonames,18045
18065,18078,geonames,18065
18068,18068,geonames,18092
18105,18105,geonames,18102
18251,18251,geonames,18249
18348,18372,geonames,18347
18352,18352,geonames,18360
18427,18427,geonames,18436
18440,18414,geonames,18440
18459,18459,geonames,18472
18501,18510,geonames,18503
18515,18517,geonames,18508
18540,18510,geonames,18505
18577,18510,geonames,18505
18627,18612,geonames,18627
18653,18653,geonames,18411
18710,18704,geonames,18701
18711,18704,geonames,18702
18762,18704,geonames,18706
18764,18704,geonames,18702
18765,18704,geonames,18702
18767,18704,geonames,18702
18769,18704,geonames,18702
18773,18704,geonames,18701
18820,18847,geonames,18820
18910,18942,geonames,18944
18916,18902,geonames,18901
18921,18972,geonames,18921
18924,18969,geonames,
18927,18960,geonames,18927
18928,18938,geonames,18902
18931,18902,geonames,18938
18933,18902,geonames,18933
18943,18980,geonames,18940
18946,18938,geonames,18946
18949,18902,geonames,18947
18956,18980,geonames,18925
18991,18902,geonames,18974
19016,19063,geonames,19013
19019,19134,geonames,19115
19048,19047,geonames,19053
19049,19047,geonames,19053
19052,19063,geonames,19052
19088,19063,geonames,19087
19092,19134,geonames,19104
19093,19134,geonames,19104
19099,19107,geonames,19104
19101,19134,geonames,19104
19105,19107,geonames,19106
19108,19123,geonames,19108
19155,19134,geonames,19114
19160,19134,geonames,19140
19161,19134,geonames,19104
19162,19134,geonames,19104
19170,19134,geonames,19104
19171,19107,geonames,19109
19173,19107,geonames,19103
19175,19125,geonames,19106
19176,19107,geonames,19153
19177,19134,geonames,19106
19178,19134,geonames,19104
19179,19134,geonames,19144
19181,19134,geonames,19106
19182,19134,geonames,19106
19183,19107,geonames,19106
19184,19134,geonames,19104
19185,19134,geonames,19112
19187,19107,geonames,19102
19188,19134,geonames,19123
19190,19106,geonames,19104
19191,19107,geonames,19102
19192,19103,geonames,19102
19193,19134,geonames,19104
19194,19134,geonames,19104
19195,19107,geonames,19104
19196,19134,geonames,19104
19197,19134,geonames,19104
19244,19134,geonames,19154
19255,19134,geonames,19154
19339,19063,geonames,19373
19340,19342,geonames,19373
19351,19352,geonames,19350
19353,19355,geonames,19341
19357,19317,geonames,19348
19360,19350,geonames,19352
19369,19320,geonames,19369
19376,19335,geonames,19320
19397,19335,geonames,19087
19398,19335,geonames,19087
19399,19335,geonames,19087
19404,19446,geonames,19401
19407,19446,geonames,19403
19421,19335,geonames,19475
19430,19426,geonames,19473
19443,19438,geonames,19446
19450,19446,geonames,19438
19451,19446,geonames,19438
19455,19454,geonames,18936
19470,19465,geonames,19520
19478,19473,geonames,18074
19481,19406,geonames,19460
19482,19087,geonames,19460
19484,19446,geonames,19406
19490,19426,geonames,19490
19493,19460,geonames,19355
19494,19460,geonames,19355
19495,19460,geonames,19355
19496,19460,geonames,19355
19516,19541,geonames,19516
19519,19519,geonames,19518
19542,19542,tiger,
19548,19512,geonames,19518
19603,19605,geonames,19601
19612,19510,geonames,19604
19712,19706,geonames,19713
19714,19706,geonames,19711
19715,19706,geonames,19711
19718,19706,geonames,19713
19721,19706,geonames,19720
19725,19706,geonames,19711
19850,19706,geonames,19801
19880,19706,geonames,19801
19890,19706,geonames,19801
19891,19706,geonames,19713
19892,19706,geonames,19720
19894,19801,geonames,19804
19896,19706,geonames,19801
19897,19706,geonames,19803
19906,19904,geonames,19901
19980,19904,geonames,19980
20013,20001,geonames,20002
20022,20011,geonames,20002
20026,20001,geonames,20260
20027,20037,geonames,20007
20029,20001,geonames,20019
20030,20001,geonames,20020
20033,20001,geonames,20036
20035,20001,geonames,20036
20038,20001,geonames,20006
20039,20001,geonames,20011
20040,20001,geonames,20011
20041,20001,geonames,20151
20042,20001,geonames,20018
20043,20001,geonames,20005
20044,20001,geonames,20004
20047,20001,geonames,20015
20050,20001,geonames,20018
20053,20053,geonames,20003
20056,20001,geonames,20009
20058,20001,geonames,20817
20059,20001,geonames,20059
20061,20001,geonames,20018
20065,20024,geonames,20002
20066,20001,geonames,20018
20067,20001,geonames,20006
20068,20004,geonames,20001
20069,20001,geonames,22031
20070,20001,geonames,22031
20071,20001,geonames,20005
20073,20004,geonames,20005
20074,20001,geonames,20018
20075,20001,geonames,20018
20076,20001,geonames,20015
20077,20001,geonames,20018
20078,20001,geonames,20018
20082,20001,geonames,20003
20090,20001,geonames,20018
20102,20175,geonames,20166
20104,20175,geonames,20166
20118,20118,geonames,20117
20122,22032,geonames,20120
20138,22728,geonames,20119
20139,20139,geonames,20119
20146,20175,geonames,20147
20153,22032,geonames,20151
20156,20112,geonames,20155
20168,20169,geonames,20155
20177,20176,geonames,20175
20178,20176,geonames,20175
20192,22032,geonames,20191
20195,22032,geonames,20190
20196,22032,geonames,20191
20201,20001,geonames,20024
20202,20202,geonames,20024
20206,20001,geonames,22302
20207,20001,geonames,20814
20211,20001,geonames,20002
20212,20001,geonames,20002
20214,20001,geonames,20002
20218,20001,geonames,20006
20219,20001,geonames,20024
20220,20001,geonames,20220
20221,20001,geonames,20004
20222,20001,geonames,20004
20223,20001,geonames,20005
20224,20001,geonames,20004
20226,20001,geonames,20005
20227,20001,geonames,20024
20228,20228,geonames,20024
20229,20001,geonames,20004
20232,20006,geonames,20009
20233,20001,geonames,20746
20235,20008,geonames,20009
20237,20004,geonames,20024
20238,20001,geonames,20036
20241,20001,geonames,20037
20242,20024,geonames,20002
20244,20001,geonames,20018
20250,20024,geonames,20250
20251,20001,geonames,20260
20252,20015,geonames,20018
20254,20001,geonames,20024
20261,20001,geonames,20024
20262,20001,geonames,20018
20265,20001,geonames,20024
20266,20001,geonames,20024
20270,20001,geonames,20006
20277,20001,geonames,20018
20289,20001,geonames,20024
20299,20001,geonames,20018
20301,20024,geonames,22202
20303,20001,geonames,20003
20306,20001,geonames,20012
20307,20307,tiger,20012
20310,20001,geonames,22202
20318,20001,geonames,20018
20330,20001,geonames,22202
20340,20001,geonames,20032
20350,20001,geonames,22202
20355,20004,geonames,20018
20370,20001,geonames,20003
20372,20001,geonames,20037
20374,20004,geonames,20003
20376,20018,geonames,20003
20380,20001,geonames,20003
20388,20004,geonames,20388
20389,20001,geonames,20746
20391,20004,geonames,20003
20392,20001,geonames,20007
20393,20001,geonames,20016
20394,20001,geonames,20016
20395,20001,geonames,20746
20398,20004,geonames,20003
20404,20002,geonames,20001
20405,20405,geonames,20006
20406,20001,geonames,22202
20407,20001,geonames,20024
20408,20001,geonames,20408
20409,20001,geonames,
20410,20001,geonames,20024
20412,20004,geonames,20024
20413,20001,geonames,20024
20415,20001,geonames,20415
20416,20001,geonames,20024
20419,20001,geonames,20036
20420,20005,geonames,20006
20421,20001,geonames,20006
20422,20001,geonames,20422
20423,20001,geonames,20024
20424,20001,geonames,20005
20425,20001,geonames,20004
20426,20001,geonames,20002
20428,20001,geonames,20009
20429,20001,geonames,20006
20431,20006,geonames,20431
20434,20001,geonames,20006
20435,20006,geonames,20007
20436,20004,geonames,20024
20439,20001,geonames,20005
20447,20260,geonames,20024
20451,20006,geonames,20520
20453,20001,geonames,22202
20460,20024,geonames,20004
20463,20001,geonames,20004
20468,20001,geonames,20006
20469,20001,geonames,20006
20470,20001,geonames,20018
20472,20001,geonames,20024
20500,20004,geonames,20006
20504,20001,geonames,20006
20505,20001,geonames,20006
20506,20506,geonames,20006
20507,20001,geonames,20002
20508,20001,geonames,20006
20511,20004,geonames,20018
20515,20001,geonames,20515
20521,20001,geonames,20037
20522,20037,geonames,20520
20525,20001,geonames,20005
20526,20006,geonames,20036
20530,20004,geonames,20530
20536,20001,geonames,20024
20537,20004,geonames,20018
20539,20001,geonames,20004
20542,20011,geonames,20542
20543,20001,geonames,20002
20544,20001,geonames,20002
20546,20565,geonames,20024
20547,20001,geonames,20024
20552,20001,geonames,20006
20553,20553,geonames,20591
20554,20001,geonames,20006
20571,20005,geonames,20006
20572,20001,geonames,20005
20573,20001,geonames,20002
20575,20001,geonames,20006
20576,20004,geonames,20005
20577,20005,geonames,20006
20579,20036,geonames,20004
20580,20001,geonames,20004
20581,20001,geonames,20036
20585,20001,geonames,20024
20586,20427,geonames,20037
20588,20735,geonames,20623
20590,20024,geonames,20003
20591,20001,geonames,20591
20593,20593,geonames,20024
20594,20024,geonames,20260
20597,20001,geonames,20024
20598,20166,geonames,22041
20599,20001,geonames,20746
20604,20646,geonames,20602
20635,20650,geonames,20659
20656,20650,geonames,20656
20661,20664,geonames,20661
20682,20664,geonames,20618
20697,20747,geonames,20743
20703,20747,geonames,20706
20709,20707,geonames,20708
20717,20747,geonames,20716
20718,20747,geonames,20715
20719,20747,geonames,20720
20726,20707,geonames,20708
20738,20747,geonames,20737
20741,20747,geonames,20740
20749,20747,geonames,20744
20771,20770,geonames,20771
20775,20747,geonames,20774
20787,20783,geonames,20912
20790,20747,geonames,20743
20791,20747,geonames,20743
20792,20772,geonames,20774
20797,20747,geonames,20743
20799,20747,geonames,20743
20810,20814,geonames,20815
20811,20814,geonames,20815
20813,20877,geonames,20815
20824,20814,geonames,20815
20827,20877,geonames,20817
20847,20850,geonames,20852
20848,20877,geonames,20851
20857,20850,geonames,20852
20859,20877,geonames,20854
20875,20877,geonames,20874
20883,20850,geonames,20878
20885,20886,geonames,20878
20889,20877,geonames,20889
20892,20814,geonames,20892
20894,20877,geonames,20894
20897,20877,geonames,20855
20898,20877,geonames,20855
20908,20910,geonames,20906
20914,20910,geonames,20904
20915,20910,geonames,20902
20916,20910,geonames,20906
20918,20910,geonames,20901
21020,21136,geonames,21155
21022,21208,geonames,21093
21023,21136,geonames,21023
21041,21042,geonames,21043
21062,21401,geonames,21060
21092,21057,geonames,21013
21123,21401,geonames,21122
21139,21204,geonames,21286
21150,21042,geonames,21044
21203,21201,geonames,21202
21233,21201,geonames,21233
21235,21201,geonames,21207
21241,21201,geonames,21207
21263,21201,geonames,21202
21264,21201,geonames,21218
21270,21201,geonames,21215
21273,21201,geonames,21202
21278,21201,geonames,21202
21279,21201,geonames,21202
21280,21201,geonames,
21281,21201,geonames,21224
21285,21286,geonames,21285
21287,21231,geonames,21287
21288,21201,geonames,
21289,21201,geonames,21207
21297,21201,geonames,21202
21298,21201,geonames,21202
21412,21401,geonames,21402
21504,21555,geonames,21502
21522,21522,geonames,21536
21560,21502,geonames,21560
21656,21617,geonames,21623
21690,21617,geonames,21620
21709,21793,geonames,21701
21715,21779,geonames,21715
21747,21740,geonames,21742
21749,21740,geonames,21742
21802,21802,geonames,21804
21916,21916,geonames,21921
22009,22032,geonames,22015
22034,22032,geonames,22042
22036,22306,geonames,22042
22037,22032,geonames,22042
22082,22042,geonames,22031
22096,22032,geonames,20170
22103,22032,geonames,22102
22107,22101,geonames,22102
22108,22101,geonames,22102
22109,22101,geonames,22102
22116,22042,geonames,22031
